10601040;FOTOQU÷MICA ORG∂NICA
10601058;QU÷MICA DOS PRODUTOS NATURAIS
10601066;EVOLUÄ«O, SISTEMµTICA E ECOLOGIA QU÷MICA
10601074;POL÷MEROS E COL‡IDES
10602003;QU÷MICA INORG∂NICA
10602011;CAMPOS DE COORDENAÄ«O
10602020;N«O-METAIS E SEUS COMPOSTOS
10602038;COMPOSTOS ORGANO-METµLICOS
10602046;DETERMINAÄ«O DE ESTRUTURAS DE COMPOSTOS INORG∂NICOS
10602054;FOTO-QU÷MICA INORG∂NICA
10602062;F÷SICO QU÷MICA INORG∂NICA
10602070;QU÷MICA BIO-INORG∂NICA
10603000;F÷SICO-QU÷MICA
10603018;CINêTICA QU÷MICA E CATALISE
10603026;ELETROQU÷MICA
10603034;ESPECTROSCOPIA
10603042;QU÷MICA DE INTERFACES
10603050;QU÷MICA DO ESTADO CONDENSADO
10603069;QU÷MICA NÈCLEAR E RADIOQU÷MICA
10603077;QU÷MICA TE‡RICA
10603085;TERMODIN∂MICA QU÷MICA
10604006;QU÷MICA ANAL÷TICA
10604014;SEPARAÄ«O
10604022;MêTODOS ‡TICOS DE ANµLISE
10604030;ELETROANAL÷TICA
10604049;GRAVIMETRIA
10604057;TITIMETRIA
10604065;INSTRUMENTAÄ«O ANAL÷TICA
10604073;ANµLISE DE TRAÄOS E QU÷MICA AMBIENTAL
;
;
;
;
;
;
;
;
;
;
;µREA DE AVALIAÄ«O: GEOCI“NCIAS
;
;
10700005;GEOCI“NCIAS
10701001;GEOLOGIA
10701010;MINERALOGIA
10701028;PETROLOGIA
10701036;GEOQU÷MICA
10701044;GEOLOGIA REGIONAL
10701052;GEOTECT‚NICA
10701060;GEOCRONOLOGIA
10701079;CARTOGRAFIA GEOL‡GICA
10701087;METALOGENIA
10701095;HIDROGEOLOGIA
10701109;PROSPECÄ«O MINERAL
10701117;SEDIMENTOLOGIA
10701125;PALEONTOLOGIA ESTRATIGRµFICA
10701133;ESTRATIGRAFIA
10701141;GEOLOGIA AMBIENTAL
10702008;GEOF÷SICA
10702016;GEOMAGNETISMO
10702024;SISMOLOGIA
10702032;GEOTERMIA E FLUXO TêRMICO
10702040;PROPRIEDADES F÷SICAS DAS ROCHAS
10702059;GEOF÷SICA NUCLEAR
10702067;SENSORIAMENTO REMOTO
10702075;AERONOMIA
10702083;DESENVOLVIMENTO DE INSTRUMENTAÄ«O GEOF÷SICA
10702091;GEOF÷SICA APLICADA
10702105;GRAVIMETRIA
10703004;METEOROLOGIA
10703012;METEOROLOGIA DIN∂MICA
10703020;METEOROLOGIA SIN‡TICA
10703039;METEOROLOGIA F÷SICA
10703047;QU÷MICA DA ATMOSFERA
10703055;INSTRUMENTAÄ«O METEOROL‡GICA
10703063;CLIMATOLOGIA
10703071;MICROMETEOROLOGIA
10703080;SENSORIAMENTO REMOTO DA ATMOSFERA
10703098;METEOROLOGIA APLICADA
10704000;GEODêSIA
10704019;GEODêSIA F÷SICA
10704027;GEODêSIA GEOMêTRICA
10704035;GEODêSIA CELESTE
10704043;FOTOGRAMETRIA
10704051;CARTOGRAFIA BµSICA
10705007;GEOGRAFIA F÷SICA
10705015;GEOMORFOLOGIA
10705023;CLIMATOLOGIA GEOGRµFICA
10705031;PEDOLOGIA
10705040;HIDROGEOGRAFIA
10705058;GEOECOLOGIA
10705066;FOTOGEOGRAFIA (F÷SICO-ECOL‡GICA)
10705074;GEOCARTOGRAFIA
10802002;OCEANOGRAFIA F÷SICA
10802010;VARIµVEIS F÷SICAS DA µGUA DO MAR
10802029;MOVIMENTO DA µGUA DO MAR
10802037;ORIGEM DAS MASSAS DE µGUA
10802045;INTERAÄ«O DO OCEANO COM O LEITO DO MAR
10802053;INTERAÄ«O DO OCEANO COM A ATMOSFERA
10803009;OCEANOGRAFIA QU÷MICA
10803017;PROPRIEDADES QU÷MICAS DA µGUA DO MAR
10803025;INTER.QU÷M.-BIOL./GEOL.DAS SUBST. QUIM.DA µGUA DO MAR
10804005;OCEANOGRAFIA GEOL‡GICA
10804013;GEOMORFOLOGIA SUBMARINA
10804021;SEDIMENTOLOGIA MARINHA
10804030;GEOF÷SICA MARINHA
10804048;GEOQU÷MICA MARINHA
;
;
20000006;CI“NCIAS BIOL‡GICAS
;
;µREA DE AVALIAÄ«O: CI“NCIAS BIOL‡GICAS I
;
;
20100000;BIOLOGIA GERAL
;
20200005;GENêTICA
