127;10507035;DINÂMICA DA REDE E ESTATÍSTICA DE CRISTAIS
128;10507043;EQUAÇÃO DE ESTADO, EQUILIB. DE FASES E TRANSIÇÕES DE FASES
129;10507051;PROPRIEDADES TÉRMICAS DA MATÉRIA CONDENSADA
130;10507060;PROPRIEDADES DE TRANSP.DE MATÉRIA COND. (NÃO ELETRÔNICAS)
131;10507078;CAMPOS QUÂNTICOS E SÓLIDOS, HÉLIO, LÍQUIDO, SÓLIDO
132;10507086;SUPERFÍCIES E INTERFACESPELÍCULAS E FILAMENTOS
133;10507094;ESTADOS ELETRÔNICOS
134;10507108;TRANSP.ELETR.E PROPR.ELET.DE SUPERFÍCIESINTERF.E PELÍCULAS
135;10507116;ESTRUT.ELETR.E PROPR.ELET.DE SUPERFÍCIESINTERF.E PELÍCULAS
136;10507124;SUPERCONDUTIVIDADE
137;10507132;MATERIAIS MAGNÉTICOS E PROPRIEDADES MAGNÉTICAS
138;10507140;RESS.MAGN. REL.MAT.COND.EFEIT.MOSBAUERCORR.ANG.PERTUBADA
139;10507159;MATERIAIS DIELÉTRICOS E PROPRIEDADES DIELÉTRICAS
140;10507167;PROP.OTIC.E ESPEC.MATR.COND.OUTRAS INTER.MAT.COM RAD.PART.
141;10507175;EMISSÃO ELETRON.E IÔNICA POR LIQ.E SÓLIDOSFENOM.DE IMPACTO
142;10600000;QUÍMICA
143;10601007;QUÍMICA ORGÂNICA
144;10601015;ESTRUTURA, CONFORMAÇÃO E ESTEREOQUÍMICA
145;10601023;SÍNTESE ORGÂNICA
146;10601031;FÍSICO-QUÍMICA ORGÂNICA
147;10601040;FOTOQUÍMICA ORGÂNICA
148;10601058;QUÍMICA DOS PRODUTOS NATURAIS
149;10601066;EVOLUÇÃO, SISTEMÁTICA E ECOLOGIA QUÍMICA
150;10601074;POLÍMEROS E COLÓIDES
151;10602003;QUÍMICA INORGÂNICA
152;10602011;CAMPOS DE COORDENAÇÃO
153;10602020;NÃO-METAIS E SEUS COMPOSTOS
154;10602038;COMPOSTOS ORGANO-METÁLICOS
155;10602046;DETERMINAÇÃO DE ESTRUTURAS DE COMPOSTOS INORGÂNICOS
